path,source,sha256,bytes
wayback/20080205/20080212055315_UnofficialSummaryReport8.pdf,https://web.archive.org/web/20080212055315/http://www.sfgov.org/site/uploadedfiles/elections/Announcements/PR2008/February5_%202008UnofficialSummaryReport8_%20for_%20theCityandCountyofSanFrancisco.pdf,1b3031e00456ba81cb0c4e10f9589e33b8c0fb6d2a97a7e1d9679f28cf37143c,104129
wayback/20100608/20100610232550_summary.php.html,https://web.archive.org/web/20100610232550/http://sfelections.org:80/results/20100608/summary.php,392f4f0711fda76cd93a3f2094d7945086b7ab1e333e6b7706afdbb587887e73,110615
wayback/20101102/20101105124135.html,https://web.archive.org/web/20101105124135/http://www.sfelections.org:80/results/20101102/,b7d747eb33756fb8840f1fad4daf06f7334f54bb14563d85ed25ad85147dc46b,68641
wayback/20101102/20101105124135_.html,https://web.archive.org/web/20101105124135/http://www.sfelections.org:80/results/20101102/,b7d747eb33756fb8840f1fad4daf06f7334f54bb14563d85ed25ad85147dc46b,68641
wayback/20101102/20101107190303.html,https://web.archive.org/web/20101107190303/http://www.sfelections.org:80/results/20101102/,788af57150061cdfb50e453371655b397395b0b5854969247e35d913701a6f29,69373
wayback/20101102/20101107190303_.html,https://web.archive.org/web/20101107190303/http://www.sfelections.org:80/results/20101102/,788af57150061cdfb50e453371655b397395b0b5854969247e35d913701a6f29,69373
wayback/20111108/20111110070445.html,https://web.archive.org/web/20111110070445/http://sfelections.org:80/results/20111108/,6053824dbd5f770ad25bd1a65b8e415ea7778c0ee7c5f4ba4053dca67129b4e2,21244
wayback/20111108/20111110070445_.html,https://web.archive.org/web/20111110070445/http://sfelections.org:80/results/20111108/,6053824dbd5f770ad25bd1a65b8e415ea7778c0ee7c5f4ba4053dca67129b4e2,21244
wayback/20111108/20111111002226.html,https://web.archive.org/web/20111111002226/http://www.sfelections.org:80/results/20111108/,ecd628b2512c6447e77da2a0fc9d1c8316462478f25dd19968f03c31d5fede8e,21253
wayback/20111108/20111111002226_.html,https://web.archive.org/web/20111111002226/http://www.sfelections.org:80/results/20111108/,ecd628b2512c6447e77da2a0fc9d1c8316462478f25dd19968f03c31d5fede8e,21253
wayback/20111108/20111112064924_index_ch.php.html,https://web.archive.org/web/20111112064924/http://www.sfelections.org:80/results/20111108/index_ch.php,d08b095001bd7a354d655482bcb95d8db744041dd2f7daa3ff824c3a2bae718b,20856
wayback/20111108/20111112065026_index_sp.php.html,https://web.archive.org/web/20111112065026/http://www.sfelections.org:80/results/20111108/index_sp.php,f3489c0c47b8a231de9b02fa260d625de43f6d5d7a4099b50934404f2890fbc4,22781
wayback/20111108/20111118222301.html,https://web.archive.org/web/20111118222301/http://sfelections.org:80/results/20111108/,6880fea1aa029000abb84b9d6521ceb678e278a96037e3807c04455dd6861163,21016
wayback/20111108/20111118222301_.html,https://web.archive.org/web/20111118222301/http://sfelections.org:80/results/20111108/,6880fea1aa029000abb84b9d6521ceb678e278a96037e3807c04455dd6861163,21016
wayback/20111108/20111127003453.html,https://web.archive.org/web/20111127003453/http://www.sfelections.org:80/results/20111108/,444fefe4313d622b37c64a0a7946d01a31f514e0f2e455f4036db19057b73080,21019
wayback/20111108/20111127003453_.html,https://web.archive.org/web/20111127003453/http://www.sfelections.org:80/results/20111108/,444fefe4313d622b37c64a0a7946d01a31f514e0f2e455f4036db19057b73080,21019
wayback/20120605/20120608225921.html,https://web.archive.org/web/20120608225921/http://www.sfelections.org:80/results/20120605/,41ad15dcca1cd06c68d9bd8b794b981d420487fe717afe2f0c568c543e4b854b,81467
wayback/20120605/20120608225921_.html,https://web.archive.org/web/20120608225921/http://www.sfelections.org:80/results/20120605/,41ad15dcca1cd06c68d9bd8b794b981d420487fe717afe2f0c568c543e4b854b,81467
wayback/20120605/20120609234942.html,https://web.archive.org/web/20120609234942/http://www.sfelections.org:80/results/20120605/,c0cc26d7beecc085fb6b772eaea0522d894d1b48cb069ef1a1cbc0515d65fb6c,81497
wayback/20120605/20120609234942_.html,https://web.archive.org/web/20120609234942/http://www.sfelections.org:80/results/20120605/,c0cc26d7beecc085fb6b772eaea0522d894d1b48cb069ef1a1cbc0515d65fb6c,81497
wayback/20120605/20120610012608_detail.php.html,https://web.archive.org/web/20120610012608/http://www.sfelections.org:80/results/20120605/detail.php,c284df4453cd0e558da4913ccbea367a3d5c92f28005818c07038057223cee07,2279
wayback/20120605/20120610012626.html,https://web.archive.org/web/20120610012626/http://www.sfelections.org:80/results/20120605/index.php,c0cc26d7beecc085fb6b772eaea0522d894d1b48cb069ef1a1cbc0515d65fb6c,81497
wayback/20120605/20120610012626_index.php.html,https://web.archive.org/web/20120610012626/http://www.sfelections.org:80/results/20120605/index.php,c0cc26d7beecc085fb6b772eaea0522d894d1b48cb069ef1a1cbc0515d65fb6c,81497
wayback/20120605/20120610012743_index_ch.php.html,https://web.archive.org/web/20120610012743/http://www.sfelections.org:80/results/20120605/index_ch.php,22238b23359ab63d3ac7f194579480063344b6797e08e3868db047d7a7ec8a28,81057
wayback/20120605/20120610012748_index_sp.php.html,https://web.archive.org/web/20120610012748/http://www.sfelections.org:80/results/20120605/index_sp.php,3d058d289da388af23793feea83292e864cf6b99168fc346f88c6d2182e71d6b,82498
wayback/20120605/20120617010717.html,https://web.archive.org/web/20120617010717/http://www.sfelections.org/results/20120605/,595b7daadc88d14e01d5e564beefae7cb1b122596bd6178f4bd9a9923db058ea,81513
wayback/20120605/20120617010717_.html,https://web.archive.org/web/20120617010717/http://www.sfelections.org/results/20120605/,595b7daadc88d14e01d5e564beefae7cb1b122596bd6178f4bd9a9923db058ea,81513
wayback/20120605/20120617010719.html,https://web.archive.org/web/20120617010719/http://www.sfelections.org/results/20120605/index.php,595b7daadc88d14e01d5e564beefae7cb1b122596bd6178f4bd9a9923db058ea,81513
wayback/20120605/20120617010719_index.php.html,https://web.archive.org/web/20120617010719/http://www.sfelections.org/results/20120605/index.php,595b7daadc88d14e01d5e564beefae7cb1b122596bd6178f4bd9a9923db058ea,81513
wayback/20120605/20120617010720_detail.php.html,https://web.archive.org/web/20120617010720/http://www.sfelections.org/results/20120605/detail.php,babd6c8766e47910f552a3734b27f895a62238a00ab7f559223f6b459adf11f2,2255
wayback/20120605/20120617010725_index_ch.php.html,https://web.archive.org/web/20120617010725/http://www.sfelections.org/results/20120605/index_ch.php,7510450e73a458c9e364790bcaa01bc03992e66455b6f22b52a986a3a198ea45,81073
wayback/20120605/20120617010726_index_sp.php.html,https://web.archive.org/web/20120617010726/http://www.sfelections.org/results/20120605/index_sp.php,007b5a2558c7ebef16517c42eb49fcc6a6bd84c6cb10b7c25739ff7e8e77283d,82514
wayback/20120605/20120617010728_detail_ch.php.html,https://web.archive.org/web/20120617010728/http://www.sfelections.org/results/20120605/detail_ch.php,022aa1a65dc801c47ba9b49a09573e3820a560122ac4368267d0066facd73f2e,1654
wayback/20120605/20120617010729_detail_sp.php.html,https://web.archive.org/web/20120617010729/http://www.sfelections.org/results/20120605/detail_sp.php,a84bf036fcad9f685da86529d7430fc6b1c69db352e58f66bc81b808429b69e9,1694
wayback/20120605/20120716225316.html,https://web.archive.org/web/20120716225316/http://www.sfelections.org/results/20120605/,ce1864854560f1aa27fc1c6f1a40d19dd4c8c7ff07ff0950a278b16b6ba1bd47,82541
wayback/20120605/20120716225316_.html,https://web.archive.org/web/20120716225316/http://www.sfelections.org/results/20120605/,ce1864854560f1aa27fc1c6f1a40d19dd4c8c7ff07ff0950a278b16b6ba1bd47,82541
wayback/20120605/20120716225336.html,https://web.archive.org/web/20120716225336/http://www.sfelections.org/results/20120605/index.php,ce1864854560f1aa27fc1c6f1a40d19dd4c8c7ff07ff0950a278b16b6ba1bd47,82541
wayback/20120605/20120716225336_index.php.html,https://web.archive.org/web/20120716225336/http://www.sfelections.org/results/20120605/index.php,ce1864854560f1aa27fc1c6f1a40d19dd4c8c7ff07ff0950a278b16b6ba1bd47,82541
wayback/20120605/20120716225337_detail.php.html,https://web.archive.org/web/20120716225337/http://www.sfelections.org/results/20120605/detail.php,d764214760cf11f75d192bd5e01db79e82709f7c9c8da4b2260d0a17c3d34a6f,2219
wayback/20120605/20120716225342_index_ch.php.html,https://web.archive.org/web/20120716225342/http://www.sfelections.org/results/20120605/index_ch.php,cc6fc06fd0b67004c65d32d1eed8c5d1f1ceaabce67b06ee28992039474348bf,82528
wayback/20120605/20120716225343_index_sp.php.html,https://web.archive.org/web/20120716225343/http://www.sfelections.org/results/20120605/index_sp.php,c5937d9d1a816bd65d22c223c97e5dc745505fbb68c7a08afc036286f54a4ef7,83969
wayback/20121106/20121107165615.html,https://web.archive.org/web/20121107165615/http://sfelections.org/results/20121106/index.php,a755eed09b508a4febdf5549f45f806dd937838cf2e0eb7b60578fa1bb4d71b7,92976
wayback/20121106/20121107165615_index.php.html,https://web.archive.org/web/20121107165615/http://sfelections.org/results/20121106/index.php,a755eed09b508a4febdf5549f45f806dd937838cf2e0eb7b60578fa1bb4d71b7,92976
wayback/20121106/20121109165128.html,https://web.archive.org/web/20121109165128/http://sfelections.org:80/results/20121106/index.php,2bf9b750a17f0ef2b03091a934c2d7e94df893d99f37247970a64b6401408fd2,93341
wayback/20121106/20121109165128_index.php.html,https://web.archive.org/web/20121109165128/http://sfelections.org:80/results/20121106/index.php,2bf9b750a17f0ef2b03091a934c2d7e94df893d99f37247970a64b6401408fd2,93341
wayback/20121106/20121110054934.html,https://web.archive.org/web/20121110054934/http://sfelections.org:80/results/20121106/index.php,2e4d144826c05a4d9300fe7f1c0a5a9487b3f17527b83d6c19daa9f24339aaaa,93529
wayback/20121106/20121110054934_index.php.html,https://web.archive.org/web/20121110054934/http://sfelections.org:80/results/20121106/index.php,2e4d144826c05a4d9300fe7f1c0a5a9487b3f17527b83d6c19daa9f24339aaaa,93529
wayback/20121106/20121112020016.html,https://web.archive.org/web/20121112020016/http://sfelections.org/results/20121106/,56505183b38c9f5534f91e8f7f2a9fdab13248756a25eb3b79810328a1dc7c8a,94033
wayback/20121106/20121112020016_.html,https://web.archive.org/web/20121112020016/http://sfelections.org/results/20121106/,56505183b38c9f5534f91e8f7f2a9fdab13248756a25eb3b79810328a1dc7c8a,94033
wayback/20121106/20121112140832_index_ch.php.html,https://web.archive.org/web/20121112140832/http://sfelections.org:80/results/20121106/index_ch.php,0527274a71908b1ae763694eecc12831a3f2b9128435b54146d66b8cb65ee76a,93220
wayback/20121106/20121112141055_index_sp.php.html,https://web.archive.org/web/20121112141055/http://sfelections.org:80/results/20121106/index_sp.php,d0b3eaef5349e20b425cd2bb4bb5035c95d5e58d43b36622996e33b4d711d047,96194
wayback/20121106/20121115094436.html,https://web.archive.org/web/20121115094436/http://www.sfelections.org:80/results/20121106/,98357da830a8a356c51fc10af0e284f3b81f4b0376db992cc86871e2446bab81,94616
wayback/20121106/20121115094436_.html,https://web.archive.org/web/20121115094436/http://www.sfelections.org:80/results/20121106/,98357da830a8a356c51fc10af0e284f3b81f4b0376db992cc86871e2446bab81,94616
wayback/20121106/20121120185014.html,https://web.archive.org/web/20121120185014/http://sfelections.org/results/20121106/index.php,cad2b2d9d47b9460a6e22642bb6db6a1fe7b7c099a694b3f0f8c51cb5c580ecb,98981
wayback/20121106/20121120185014_index.php.html,https://web.archive.org/web/20121120185014/http://sfelections.org/results/20121106/index.php,cad2b2d9d47b9460a6e22642bb6db6a1fe7b7c099a694b3f0f8c51cb5c580ecb,98981
wayback/20121106/20121128022737.html,https://web.archive.org/web/20121128022737/http://sfelections.org/results/20121106/index.php,b9d375c8df40ba68fce5c887fd04e66fa5b67e7a52f6f0a41fee0fb9add5912e,100019
wayback/20121106/20121128022737_index.php.html,https://web.archive.org/web/20121128022737/http://sfelections.org/results/20121106/index.php,b9d375c8df40ba68fce5c887fd04e66fa5b67e7a52f6f0a41fee0fb9add5912e,100019
wayback/20121106/20121201174351.html,https://web.archive.org/web/20121201174351/http://www.sfelections.org/results/20121106/,b9d375c8df40ba68fce5c887fd04e66fa5b67e7a52f6f0a41fee0fb9add5912e,100019
wayback/20121106/20121201174351_.html,https://web.archive.org/web/20121201174351/http://www.sfelections.org/results/20121106/,b9d375c8df40ba68fce5c887fd04e66fa5b67e7a52f6f0a41fee0fb9add5912e,100019
wayback/20121106/20121201174422_index_ch.php.html,https://web.archive.org/web/20121201174422/http://www.sfelections.org/results/20121106/index_ch.php,8858d7ce184c26e72c5f9118dbf366830d0b7704037700a06558dd9bc3850342,100443
wayback/20121106/20121201174422_index_sp.php.html,https://web.archive.org/web/20121201174422/http://www.sfelections.org/results/20121106/index_sp.php,05839fb83133d65ef4f3f0c6d3a7ba77e44b94dce18d2d04de4d7c9ee39dbc16,103220
wayback/20131105/20131109013913.html,https://web.archive.org/web/20131109013913/http://sfelections.org/results/20131105/,e399c8d2828d9967bbe26a1ecb120e68690f3f55f110859fb744fdc1e43d1fde,23576
wayback/20131105/20131109013913_.html,https://web.archive.org/web/20131109013913/http://sfelections.org:80/results/20131105/,e399c8d2828d9967bbe26a1ecb120e68690f3f55f110859fb744fdc1e43d1fde,23576
wayback/20131105/20131110184521.html,https://web.archive.org/web/20131110184521/http://www.sfelections.org/results/20131105/index.php,e399c8d2828d9967bbe26a1ecb120e68690f3f55f110859fb744fdc1e43d1fde,23576
wayback/20131105/20131110184521_index.php.html,https://web.archive.org/web/20131110184521/http://sfelections.org:80/results/20131105/index.php,e399c8d2828d9967bbe26a1ecb120e68690f3f55f110859fb744fdc1e43d1fde,23576
wayback/20131105/20131110184551_index_ch.php.html,https://web.archive.org/web/20131110184551/http://sfelections.org:80/results/20131105/index_ch.php,71877f8845b2d5ac759e7e8920afb5712b550a9f8767293666e6ea4c0935524a,22696
wayback/20131105/20131110184556_index_sp.php.html,https://web.archive.org/web/20131110184556/http://sfelections.org:80/results/20131105/index_sp.php,759e4efc4bc123364760a8bac6775f6b0ad555925e11e070409743cebccf8502,24588
wayback/20131105/20131203165834.html,https://web.archive.org/web/20131203165834/http://www.sfelections.org/results/20131105/,c0ba0fab9f065b4cf0be9c717f67c35b13826ccfbdb9c91de716723331974716,23509
wayback/20131105/20131203165834_.html,https://web.archive.org/web/20131203165834/http://www.sfelections.org/results/20131105/,c0ba0fab9f065b4cf0be9c717f67c35b13826ccfbdb9c91de716723331974716,23509
wayback/20131105/20131203165945_index_ch.php.html,https://web.archive.org/web/20131203165945/http://www.sfelections.org/results/20131105/index_ch.php,34b7a196fbf8ba483eb884c9f8d2b453404de635935d288019d8602f015f6524,22541
wayback/20131105/20131203165946_index_sp.php.html,https://web.archive.org/web/20131203165946/http://www.sfelections.org/results/20131105/index_sp.php,74750e89de4a9833f434c2ef2fc6ae8f591379fc19481adf802dcbf1900a5b8d,24433
wayback/20140603/20140608000135.html,https://web.archive.org/web/20140608000135/http://www.sfelections.org:80/results/20140603/,faff5f90fb6cd665be10caadafa3efbc9a0340682d950984b52ce698faf2cf59,61791
wayback/20140603/20140608000135_.html,https://web.archive.org/web/20140608000135/http://www.sfelections.org:80/results/20140603/,faff5f90fb6cd665be10caadafa3efbc9a0340682d950984b52ce698faf2cf59,61791
wayback/20140603/20140629063326.html,https://web.archive.org/web/20140629063326/http://sfelections.org/results/20140603/,69afb97dee9741303907352c0d9ae9c50b794dbcae8c4947ac5bc88879a7384b,63350
wayback/20140603/20140629063326_.html,https://web.archive.org/web/20140629063326/http://sfelections.org/results/20140603/,69afb97dee9741303907352c0d9ae9c50b794dbcae8c4947ac5bc88879a7384b,63350
wayback/20140603/20140701000632_index_ch.php.html,https://web.archive.org/web/20140701000632/http://www.sfelections.org/results/20140603/index_ch.php,fff50d595927cad77a2816defe393adf3157bec3242e932d871f9e9765255ad0,62195
wayback/20140603/20140701000635_index_sp.php.html,https://web.archive.org/web/20140701000635/http://www.sfelections.org/results/20140603/index_sp.php,f1811d1cd77e445c964438d4359cec574369fbaddeebe8dd457cb5eb483ebc7a,64686
wayback/20140603/20140708190815_index.php.html,https://web.archive.org/web/20140708190815/http://sfelections.org/results/20140603/index.php,69afb97dee9741303907352c0d9ae9c50b794dbcae8c4947ac5bc88879a7384b,63350
wayback/20141104/20141105160259.html,https://web.archive.org/web/20141105160259/http://www.sfelections.org/results/20141104/index.php,6613fde8f7599c2786681fcdc950875bb433c0c94c1fcdcb993184c43dc0994b,130578
wayback/20141104/20141105160259_index.php.html,https://web.archive.org/web/20141105160259/http://www.sfelections.org/results/20141104/index.php,6613fde8f7599c2786681fcdc950875bb433c0c94c1fcdcb993184c43dc0994b,130578
wayback/20141104/20141105182011.html,https://web.archive.org/web/20141105182011/http://sfelections.org/results/20141104/,7040a22f403795731d01c70c3aebd2de8faaea5c925834a2640910cf749b10d2,130777
wayback/20141104/20141105182011_.html,https://web.archive.org/web/20141105182011/http://www.sfelections.org/results/20141104/,7040a22f403795731d01c70c3aebd2de8faaea5c925834a2640910cf749b10d2,130777
wayback/20141104/20141105182131_index_ch.php.html,https://web.archive.org/web/20141105182131/http://www.sfelections.org/results/20141104/index_ch.php,2b946c069ec7666142b624a0d3ecf1b4ee4db8f86c05674b82afe379d01561fe,128776
wayback/20141104/20141105182132_index_sp.php.html,https://web.archive.org/web/20141105182132/http://www.sfelections.org/results/20141104/index_sp.php,aae7fd8b618e0b47da5b902f8b52977462510913c5c935d3616110381ccee1fe,134530
wayback/20141104/20141106173520.html,https://web.archive.org/web/20141106173520/http://sfelections.org/results/20141104/,8396a67d03616ab76a206c61be7d8fde2eb06ecd555994b0d89d2cfd3bc9d40f,121326
wayback/20141104/20141106173520_.html,https://web.archive.org/web/20141106173520/http://www.sfelections.org:80/results/20141104/,8396a67d03616ab76a206c61be7d8fde2eb06ecd555994b0d89d2cfd3bc9d40f,121326
wayback/20141104/20141106233339.html,https://web.archive.org/web/20141106233339/http://www.sfelections.org/results/20141104/index.php,9528fbd2fbfdd225053b36b2243b9ed1b51debf6176fd3c3b2fcdf905dceede6,121465
wayback/20141104/20141106233339_.html,https://web.archive.org/web/20141106233339/http://www.sfelections.org/results/20141104/,59dd8cc59d50ba6e5e37b07eedd65d4041a6f5d2a991eaa105813ad5ea4f010d,121503
wayback/20141104/20141107033637_index_sp.php.html,https://web.archive.org/web/20141107033637/http://www.sfelections.org/results/20141104/index_sp.php,2a77fe0cf497fbc74bcdf5fe88a52890923b4cae9603e893e8bc8a6edb1ed016,124791
wayback/20141104/20141107033643.html,https://web.archive.org/web/20141107033643/http://www.sfelections.org/results/20141104/index.php,9528fbd2fbfdd225053b36b2243b9ed1b51debf6176fd3c3b2fcdf905dceede6,121465
wayback/20141104/20141107033643_index.php.html,https://web.archive.org/web/20141107033643/http://www.sfelections.org/results/20141104/index.php,9528fbd2fbfdd225053b36b2243b9ed1b51debf6176fd3c3b2fcdf905dceede6,121465
wayback/20141104/20141107040421_index_ch.php.html,https://web.archive.org/web/20141107040421/http://www.sfelections.org/results/20141104/index_ch.php,602dd1fde1b6b170d279e5b9a82269cbb6a2b57a950e227578f90f1236d08519,119169
wayback/20141104/20141110091018_index_ch.php.html,https://web.archive.org/web/20141110091018/http://www.sfelections.org:80/results/20141104/index_ch.php,ab5cef0fe7e8cc08876358dd0faafc6b812b3a76ce034ae17b91efb2c2f19e62,119246
wayback/20141104/20141118051150_index_sp.php.html,https://web.archive.org/web/20141118051150/http://www.sfelections.org:80/results/20141104/index_sp.php,8e3a84fe827de783714ebf6bdee5b3889bf3578d827e9e274f831b4cf866e3b3,126164
wayback/20141104/20141119020018.html,https://web.archive.org/web/20141119020018/http://sfelections.org/results/20141104/,958e5f91d45455d8215f700c8216913f8e975581c65751f1be9f90552e3b218e,121957
wayback/20141104/20141119020018_.html,https://web.archive.org/web/20141119020018/http://www.sfelections.org:80/results/20141104/,958e5f91d45455d8215f700c8216913f8e975581c65751f1be9f90552e3b218e,121957
wayback/20141104/20141130070727.html,https://web.archive.org/web/20141130070727/http://sfelections.org/results/20141104/,3696877efca5f640a609c7ec0083f6aa4d65a39709d178ff16ecfcd8f42e17cc,121844
wayback/20141104/20141130070727_.html,https://web.archive.org/web/20141130070727/http://www.sfelections.org/results/20141104/,3696877efca5f640a609c7ec0083f6aa4d65a39709d178ff16ecfcd8f42e17cc,121844
wayback/20141104/20141205183118_index_ch.php.html,https://web.archive.org/web/20141205183118/http://www.sfelections.org/results/20141104/index_ch.php,55bae5154bb4f0cfa75000aa82eca75cb1f58693efa85fbbb9330ad09493b498,120431
wayback/20141104/20141205183119_index_sp.php.html,https://web.archive.org/web/20141205183119/http://www.sfelections.org/results/20141104/index_sp.php,2e2aaf6b9898ab8bc5195dc4e2f08a350f507647f3bfbdc1e7f589c809d0b28c,126050
wayback-era-a/19990421191739_www.ci.sf.ca.us_80_election_eresults.html.html,,a55da13fbb847e43c5dd000679ff9adfb04f49ae379a4656401b49fcbd023810,1482
wayback-era-a/19991230124158_www.ci.sf.ca.us_80_election_eresults.htm.html,,787316598fc52393a971f764e6088de22afebe88e7d866799525c70ff239702d,1662
wayback-era-a/20010118230600_www.ci.sf.ca.us_80_election_eresults.htm.html,https://web.archive.org/web/20010118230600/http://www.ci.sf.ca.us:80/election/eresults.htm,787316598fc52393a971f764e6088de22afebe88e7d866799525c70ff239702d,1662
