county_slug,election_date,election_type,ballots_mail,ballots_polling,ballots_total,vbm_share_pct,source_url,source_page_or_table,note
san_francisco,2018-11-06,general,244962,127886,372848,65.7,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
lake,2018-11-06,general,15416,6049,21465,71.82,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
del_norte,2018-11-06,general,5541,2898,8439,65.66,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
mendocino,2018-11-06,general,29504,4462,33966,86.86,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
tehama,2018-11-06,general,15564,5583,21147,73.6,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
colusa,2018-11-06,general,3235,2580,5815,55.63,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
fresno,2018-11-06,general,163391,93581,256972,63.58,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
los_angeles,2018-11-06,general,1350313,1673104,3023417,44.66,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
madera,2018-11-06,general,34534,4434,38968,88.62,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
napa,2018-11-06,general,57090,42,57132,99.93,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
nevada,2018-11-06,general,51937,3059,54996,94.44,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
orange,2018-11-06,general,713306,393423,1106729,64.45,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
placer,2018-11-06,general,130829,46896,177725,73.61,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
riverside,2018-11-06,general,455939,194606,650545,70.09,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
sacramento,2018-11-06,general,492373,30279,522652,94.21,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_bernardino,2018-11-06,general,336873,209168,546041,61.69,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_diego,2018-11-06,general,804269,369655,1173924,68.51,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_mateo,2018-11-06,general,256053,34005,290058,88.28,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
santa_clara,2018-11-06,general,486957,138468,625425,77.86,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_francisco,2018-06-05,primary,163827,89756,253583,64.6,https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
lake,2018-06-05,primary,10202,3917,14119,72.26,https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
del_norte,2018-06-05,primary,3676,1796,5472,67.18,https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
mendocino,2018-06-05,primary,19830,3066,22896,86.61,https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
tehama,2018-06-05,primary,10975,3758,14733,74.49,https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
colusa,2018-06-05,primary,2121,1517,3638,58.3,https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
fresno,2018-06-05,primary,88451,47937,136388,64.85,https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
los_angeles,2018-06-05,primary,665075,825427,1490502,44.62,https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
madera,2018-06-05,primary,22216,1995,24211,91.76,https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
napa,2018-06-05,primary,37521,4,37525,99.99,https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
nevada,2018-06-05,primary,37031,1761,38792,95.46,https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
orange,2018-06-05,primary,408376,226848,635224,64.29,https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
placer,2018-06-05,primary,82842,26255,109097,75.93,https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
riverside,2018-06-05,primary,254805,91667,346472,73.54,https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
sacramento,2018-06-05,primary,292777,18104,310881,94.18,https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_bernardino,2018-06-05,primary,187864,93181,281045,66.84,https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_diego,2018-06-05,primary,476139,197501,673640,70.68,https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_mateo,2018-06-05,primary,159531,12637,172168,92.66,https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
santa_clara,2018-06-05,primary,295384,73948,369332,79.98,https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_francisco,2022-11-08,general,274476,35595,310071,88.52,https://elections.cdn.sos.ca.gov/sov/2022-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
lake,2022-11-08,general,17946,2416,20362,88.13,https://elections.cdn.sos.ca.gov/sov/2022-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
del_norte,2022-11-08,general,7317,1133,8450,86.59,https://elections.cdn.sos.ca.gov/sov/2022-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
mendocino,2022-11-08,general,30362,646,31008,97.92,https://elections.cdn.sos.ca.gov/sov/2022-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
tehama,2022-11-08,general,17561,3258,20819,84.35,https://elections.cdn.sos.ca.gov/sov/2022-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
colusa,2022-11-08,general,4483,1134,5617,79.81,https://elections.cdn.sos.ca.gov/sov/2022-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
fresno,2022-11-08,general,193076,28343,221419,87.2,https://elections.cdn.sos.ca.gov/sov/2022-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
los_angeles,2022-11-08,general,1969333,487368,2456701,80.16,https://elections.cdn.sos.ca.gov/sov/2022-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
madera,2022-11-08,general,34012,3333,37345,91.08,https://elections.cdn.sos.ca.gov/sov/2022-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
napa,2022-11-08,general,49225,1563,50788,96.92,https://elections.cdn.sos.ca.gov/sov/2022-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
nevada,2022-11-08,general,47421,3949,51370,92.31,https://elections.cdn.sos.ca.gov/sov/2022-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
orange,2022-11-08,general,830162,164115,994277,83.49,https://elections.cdn.sos.ca.gov/sov/2022-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
placer,2022-11-08,general,159013,25494,184507,86.18,https://elections.cdn.sos.ca.gov/sov/2022-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
riverside,2022-11-08,general,544805,59812,604617,90.11,https://elections.cdn.sos.ca.gov/sov/2022-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
sacramento,2022-11-08,general,455386,28929,484315,94.03,https://elections.cdn.sos.ca.gov/sov/2022-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_bernardino,2022-11-08,general,392477,66469,458946,85.52,https://elections.cdn.sos.ca.gov/sov/2022-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_diego,2022-11-08,general,939102,104388,1043490,90.0,https://elections.cdn.sos.ca.gov/sov/2022-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_mateo,2022-11-08,general,234272,17961,252233,92.88,https://elections.cdn.sos.ca.gov/sov/2022-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
santa_clara,2022-11-08,general,509908,40694,550602,92.61,https://elections.cdn.sos.ca.gov/sov/2022-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_francisco,2022-06-07,primary,207049,22180,229229,90.32,https://elections.cdn.sos.ca.gov/sov/2022-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
lake,2022-06-07,primary,12099,1371,13470,89.82,https://elections.cdn.sos.ca.gov/sov/2022-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
del_norte,2022-06-07,primary,5277,712,5989,88.11,https://elections.cdn.sos.ca.gov/sov/2022-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
mendocino,2022-06-07,primary,21825,423,22248,98.1,https://elections.cdn.sos.ca.gov/sov/2022-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
tehama,2022-06-07,primary,12468,1710,14178,87.94,https://elections.cdn.sos.ca.gov/sov/2022-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
colusa,2022-06-07,primary,3299,294,3593,91.82,https://elections.cdn.sos.ca.gov/sov/2022-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
fresno,2022-06-07,primary,125743,10371,136114,92.38,https://elections.cdn.sos.ca.gov/sov/2022-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
los_angeles,2022-06-07,primary,1371772,248821,1620593,84.65,https://elections.cdn.sos.ca.gov/sov/2022-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
madera,2022-06-07,primary,23477,1333,24810,94.63,https://elections.cdn.sos.ca.gov/sov/2022-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
napa,2022-06-07,primary,35765,520,36285,98.57,https://elections.cdn.sos.ca.gov/sov/2022-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
nevada,2022-06-07,primary,36058,1932,37990,94.91,https://elections.cdn.sos.ca.gov/sov/2022-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
orange,2022-06-07,primary,564042,72455,636497,88.62,https://elections.cdn.sos.ca.gov/sov/2022-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
placer,2022-06-07,primary,114971,13181,128152,89.71,https://elections.cdn.sos.ca.gov/sov/2022-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
riverside,2022-06-07,primary,351970,23640,375610,93.71,https://elections.cdn.sos.ca.gov/sov/2022-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
sacramento,2022-06-07,primary,324579,11435,336014,96.6,https://elections.cdn.sos.ca.gov/sov/2022-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_bernardino,2022-06-07,primary,226661,30919,257580,88.0,https://elections.cdn.sos.ca.gov/sov/2022-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_diego,2022-06-07,primary,629276,45332,674608,93.28,https://elections.cdn.sos.ca.gov/sov/2022-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_mateo,2022-06-07,primary,159655,6750,166405,95.94,https://elections.cdn.sos.ca.gov/sov/2022-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
santa_clara,2022-06-07,primary,342037,15811,357848,95.58,https://elections.cdn.sos.ca.gov/sov/2022-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_francisco,2024-11-05,general,353543,58688,412231,85.76,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
lake,2024-11-05,general,23550,3577,27127,86.81,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
del_norte,2024-11-05,general,8990,1686,10676,84.21,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
mendocino,2024-11-05,general,37358,2479,39837,93.78,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
tehama,2024-11-05,general,22441,4426,26867,83.53,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
colusa,2024-11-05,general,7122,0,7122,100.0,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,All-mail-ballot county (SoS footnote **); ballots_polling=0 is by design not a data gap
fresno,2024-11-05,general,267883,63049,330932,80.95,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
los_angeles,2024-11-05,general,2732752,1060354,3793106,72.05,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
madera,2024-11-05,general,46769,8560,55329,84.53,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
napa,2024-11-05,general,61783,4851,66634,92.72,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
nevada,2024-11-05,general,55193,8047,63240,87.28,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
orange,2024-11-05,general,1094174,323223,1417397,77.2,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
placer,2024-11-05,general,182438,56964,239402,76.21,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
riverside,2024-11-05,general,788661,170437,959098,82.23,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
sacramento,2024-11-05,general,594766,73650,668416,88.98,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_bernardino,2024-11-05,general,616860,154974,771834,79.92,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_diego,2024-11-05,general,1275304,227714,1503018,84.85,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_mateo,2024-11-05,general,297775,39466,337241,88.3,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
santa_clara,2024-11-05,general,667571,97924,765495,87.21,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_francisco,2024-03-05,primary,205536,27929,233465,88.04,https://elections.cdn.sos.ca.gov/sov/2024-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
lake,2024-03-05,primary,14076,1550,15626,90.08,https://elections.cdn.sos.ca.gov/sov/2024-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
del_norte,2024-03-05,primary,5303,818,6121,86.64,https://elections.cdn.sos.ca.gov/sov/2024-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
mendocino,2024-03-05,primary,23611,324,23935,98.65,https://elections.cdn.sos.ca.gov/sov/2024-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
tehama,2024-03-05,primary,13596,1941,15537,87.51,https://elections.cdn.sos.ca.gov/sov/2024-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
colusa,2024-03-05,primary,3788,0,3788,100.0,https://elections.cdn.sos.ca.gov/sov/2024-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,All-mail-ballot county (SoS footnote **); ballots_polling=0 is by design not a data gap
fresno,2024-03-05,primary,140316,16109,156425,89.7,https://elections.cdn.sos.ca.gov/sov/2024-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
los_angeles,2024-03-05,primary,1319889,321826,1641715,80.4,https://elections.cdn.sos.ca.gov/sov/2024-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
madera,2024-03-05,primary,25626,1983,27609,92.82,https://elections.cdn.sos.ca.gov/sov/2024-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
napa,2024-03-05,primary,36748,1130,37878,97.02,https://elections.cdn.sos.ca.gov/sov/2024-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
nevada,2024-03-05,primary,36839,2740,39579,93.08,https://elections.cdn.sos.ca.gov/sov/2024-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
orange,2024-03-05,primary,578755,106283,685038,84.49,https://elections.cdn.sos.ca.gov/sov/2024-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
placer,2024-03-05,primary,120574,15295,135869,88.74,https://elections.cdn.sos.ca.gov/sov/2024-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
riverside,2024-03-05,primary,370570,38699,409269,90.54,https://elections.cdn.sos.ca.gov/sov/2024-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
sacramento,2024-03-05,primary,328728,17774,346502,94.87,https://elections.cdn.sos.ca.gov/sov/2024-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_bernardino,2024-03-05,primary,266693,39160,305853,87.2,https://elections.cdn.sos.ca.gov/sov/2024-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_diego,2024-03-05,primary,650079,53989,704068,92.33,https://elections.cdn.sos.ca.gov/sov/2024-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_mateo,2024-03-05,primary,163240,10882,174122,93.75,https://elections.cdn.sos.ca.gov/sov/2024-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
santa_clara,2024-03-05,primary,357005,26105,383110,93.19,https://elections.cdn.sos.ca.gov/sov/2024-primary/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
