election_date,night_floor_pct,method,source
1964-11-03,94.4,non-absentee (precinct) share of certified total,doe-turnout-history
1968-11-05,93.6,non-absentee (precinct) share of certified total,doe-turnout-history
1972-06-06,92.9,non-absentee (precinct) share of certified total,doe-turnout-history
1972-11-07,91.2,non-absentee (precinct) share of certified total,doe-turnout-history
1973-11-06,94.0,non-absentee (precinct) share of certified total,doe-turnout-history
1974-06-04,92.9,non-absentee (precinct) share of certified total,doe-turnout-history
1974-11-05,93.2,non-absentee (precinct) share of certified total,doe-turnout-history
1975-11-04,95.6,non-absentee (precinct) share of certified total,doe-turnout-history
1975-12-11,95.0,non-absentee (precinct) share of certified total,doe-turnout-history
1976-06-08,91.8,non-absentee (precinct) share of certified total,doe-turnout-history
1976-11-02,91.4,non-absentee (precinct) share of certified total,doe-turnout-history
1977-08-02,90.6,non-absentee (precinct) share of certified total,doe-turnout-history
1977-11-08,92.4,non-absentee (precinct) share of certified total,doe-turnout-history
1978-06-06,91.2,non-absentee (precinct) share of certified total,doe-turnout-history
1978-11-07,90.5,non-absentee (precinct) share of certified total,doe-turnout-history
1979-11-06,92.9,non-absentee (precinct) share of certified total,doe-turnout-history
1979-12-11,90.8,non-absentee (precinct) share of certified total,doe-turnout-history
1980-06-03,92.6,non-absentee (precinct) share of certified total,doe-turnout-history
1980-08-19,85.1,non-absentee (precinct) share of certified total,doe-turnout-history
1980-11-04,88.4,non-absentee (precinct) share of certified total,doe-turnout-history
1981-11-03,89.1,non-absentee (precinct) share of certified total,doe-turnout-history
1982-06-08,88.8,non-absentee (precinct) share of certified total,doe-turnout-history
1982-11-02,88.4,non-absentee (precinct) share of certified total,doe-turnout-history
1983-04-26,64.6,non-absentee (precinct) share of certified total,doe-turnout-history
1983-11-08,82.8,non-absentee (precinct) share of certified total,doe-turnout-history
1984-06-05,83.6,non-absentee (precinct) share of certified total,doe-turnout-history
1984-11-06,85.1,non-absentee (precinct) share of certified total,doe-turnout-history
1985-11-05,78.3,non-absentee (precinct) share of certified total,doe-turnout-history
1986-06-03,85.4,non-absentee (precinct) share of certified total,doe-turnout-history
1986-11-04,85.3,non-absentee (precinct) share of certified total,doe-turnout-history
1987-04-07,72.2,non-absentee (precinct) share of certified total,doe-turnout-history
1987-06-02,62.2,non-absentee (precinct) share of certified total,doe-turnout-history
1987-11-03,80.8,non-absentee (precinct) share of certified total,doe-turnout-history
1987-12-08,73.8,non-absentee (precinct) share of certified total,doe-turnout-history
1988-06-07,84.4,non-absentee (precinct) share of certified total,doe-turnout-history
1988-11-08,71.4,non-absentee (precinct) share of certified total,doe-turnout-history
1989-11-07,79.5,non-absentee (precinct) share of certified total,doe-turnout-history
1990-06-05,75.3,non-absentee (precinct) share of certified total,doe-turnout-history
1990-11-06,76.7,non-absentee (precinct) share of certified total,doe-turnout-history
1991-11-05,77.7,non-absentee (precinct) share of certified total,doe-turnout-history
1991-12-10,66.7,non-absentee (precinct) share of certified total,doe-turnout-history
1992-06-02,78.6,non-absentee (precinct) share of certified total,doe-turnout-history
1992-11-03,77.4,non-absentee (precinct) share of certified total,doe-turnout-history
1993-06-15,59.1,non-absentee (precinct) share of certified total,doe-turnout-history
1993-11-02,71.7,non-absentee (precinct) share of certified total,doe-turnout-history
1994-06-07,72.7,non-absentee (precinct) share of certified total,doe-turnout-history
1994-11-08,70.3,non-absentee (precinct) share of certified total,doe-turnout-history
1995-11-07,70.1,non-absentee (precinct) share of certified total,doe-turnout-history
1995-12-12,65.8,non-absentee (precinct) share of certified total,doe-turnout-history
1996-03-26,71.1,non-absentee (precinct) share of certified total,doe-turnout-history
1996-11-05,74.8,non-absentee (precinct) share of certified total,doe-turnout-history
1997-06-03,72.2,non-absentee (precinct) share of certified total,doe-turnout-history
1997-11-04,69.5,non-absentee (precinct) share of certified total,doe-turnout-history
1998-06-02,69.2,non-absentee (precinct) share of certified total,doe-turnout-history
1998-11-03,73.3,non-absentee (precinct) share of certified total,doe-turnout-history
1999-11-02,74.4,non-absentee (precinct) share of certified total,doe-turnout-history
1999-12-14,67.6,non-absentee (precinct) share of certified total,doe-turnout-history
2000-03-07,74.2,non-absentee (precinct) share of certified total,doe-turnout-history
2000-11-07,74.4,non-absentee (precinct) share of certified total,doe-turnout-history
2000-12-12,63.0,non-absentee (precinct) share of certified total,doe-turnout-history
2001-11-06,72.3,non-absentee (precinct) share of certified total,doe-turnout-history
2002-03-05,65.7,non-absentee (precinct) share of certified total,certified-sov
2002-11-05,70.9,non-absentee (precinct) share of certified total,certified-sov
2004-03-02,62.9,non-absentee (precinct) share of certified total,certified-sov
2004-11-02,62.6,non-absentee (precinct) share of certified total,certified-sov
2005-11-08,59.6,non-absentee (precinct) share of certified total,certified-sov
2006-06-06,51.9,non-absentee (precinct) share of certified total,certified-sov
2006-11-07,57.3,non-absentee (precinct) share of certified total,certified-sov
2008-02-05,59.1,non-absentee (precinct) share of certified total,certified-sov
2008-06-03,48.2,non-absentee (precinct) share of certified total,certified-sov
2008-11-04,54.0,non-absentee (precinct) share of certified total,certified-sov
2010-06-08,40.9,non-absentee (precinct) share of certified total,certified-sov
2010-11-02,49.7,non-absentee (precinct) share of certified total,certified-sov
2012-06-05,34.3,non-absentee (precinct) share of certified total,certified-sov
2012-11-06,47.1,non-absentee (precinct) share of certified total,certified-sov
2013-11-05,33.8,non-absentee (precinct) share of certified total,archival
2014-06-03,30.5,non-absentee (precinct) share of certified total,certified-sov
2014-11-04,41.1,non-absentee (precinct) share of certified total,certified-sov
2015-11-03,38.1,non-absentee (precinct) share of certified total,exact
2016-06-07,39.6,non-absentee (precinct) share of certified total,exact
2016-11-08,36.5,non-absentee (precinct) share of certified total,exact
2018-06-05,35.4,non-absentee (precinct) share of certified total,exact
2018-11-06,34.3,non-absentee (precinct) share of certified total,exact
2020-03-03,35.1,non-absentee (precinct) share of certified total,exact
2020-11-03,8.5,non-absentee (precinct) share of certified total,exact
2021-09-14,8.5,non-absentee (precinct) share of certified total,exact
2022-02-15,6.6,non-absentee (precinct) share of certified total,exact
2022-04-19,4.7,non-absentee (precinct) share of certified total,exact
2022-06-07,9.7,non-absentee (precinct) share of certified total,exact
2022-11-08,11.5,non-absentee (precinct) share of certified total,exact
2024-03-05,12.0,non-absentee (precinct) share of certified total,exact
2024-11-05,14.2,non-absentee (precinct) share of certified total,exact
2025-09-16,5.4,non-absentee (precinct) share of certified total,exact
2025-11-04,9.6,non-absentee (precinct) share of certified total,exact
2026-06-02,11.4,non-absentee (precinct) share of certified total,exact
